week_start,brands,n_brands
2024-09-15,"['adidas', 'new_balance', 'nike', 'puma']",4
2024-04-07,"['new_balance', 'nike', 'puma']",3
2024-04-14,"['new_balance', 'nike', 'puma']",3
2024-04-21,"['new_balance', 'nike', 'puma']",3
2025-02-16,"['adidas', 'nike', 'puma']",3
2024-03-24,"['adidas', 'new_balance']",2
2024-08-25,"['adidas', 'new_balance']",2
2024-12-15,"['new_balance', 'puma']",2
2024-12-01,"['new_balance', 'puma']",2
2024-11-17,"['adidas', 'new_balance']",2
2024-07-28,"['new_balance', 'nike']",2
2024-08-18,"['adidas', 'nike']",2
2024-03-31,"['new_balance', 'nike']",2
2024-05-19,"['nike', 'puma']",2
2024-05-12,"['nike', 'puma']",2
2024-04-28,"['new_balance', 'nike']",2
2025-04-20,"['new_balance', 'nike']",2
